family	assembly_accession	support_fixed	support_mfp	gtdb_order	module_completeness	consensus_min	consensus_mean	stable_both
soxa	GCF_004786015.1	0.02	0.02	o__Thiomicrospirales	3	0.02	0.02	0.0
soxa	GCF_002355735.1	0.0	0.0	o__Acidiferrobacterales	3	0.0	0.0	0.0
soxa	GCF_002355415.1	0.0	0.0	o__Acidiferrobacterales	3	0.0	0.0	0.0
soxa	GCF_035621355.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_003967275.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_009938015.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_009937995.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_000297055.2	0.1	0.04	o__Burkholderiales	3	0.04	0.07	0.0
soxa	GCF_000025705.1	0.55	0.65	o__Burkholderiales	3	0.55	0.6000000000000001	1.0
soxa	GCF_003966565.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_004323595.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_002872475.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_003574215.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_010983895.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_017309585.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_020510565.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_020510525.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_008274805.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_045016065.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_015689335.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_900130075.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_007954405.1	0.0	0.76	o__Burkholderiales	4	0.0	0.38	0.0
soxa	GCF_003008575.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_033100095.1	0.0	0.12	o__Burkholderiales	4	0.0	0.06	0.0
soxa	GCF_014395975.1	0.01	0.0	o__Burkholderiales	4	0.0	0.005	0.0
soxa	GCF_014489595.1	0.01	0.01	o__Burkholderiales	4	0.01	0.01	0.0
soxa	GCF_017498525.1	0.02	0.12	o__Burkholderiales	4	0.02	0.06999999999999999	0.0
soxa	GCF_000215705.1	0.87	0.11	o__Burkholderiales	4	0.11	0.49	0.0
soxa	GCF_019973615.1	0.03	0.0	o__Burkholderiales	4	0.0	0.015	0.0
soxa	GCF_006970865.1	0.02	0.77	o__Burkholderiales	3	0.02	0.395	0.0
soxa	GCF_001761385.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_011388215.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_020162115.1	0.81	0.12	o__Burkholderiales	4	0.12	0.465	0.0
soxa	GCF_002222655.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_021049305.1	0.02	0.03	o__Burkholderiales	4	0.02	0.025	0.0
soxa	GCF_030254645.1	0.02	0.02	o__Burkholderiales	4	0.02	0.02	0.0
soxa	GCF_023734135.1	0.84	0.83	o__Burkholderiales	4	0.83	0.835	1.0
soxa	GCF_000015725.1	0.87	0.87	o__Burkholderiales	4	0.87	0.87	1.0
soxa	GCF_026013905.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_001017435.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_000253115.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_002028405.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_047549485.1	0.06	0.04	o__Burkholderiales	4	0.04	0.05	0.0
soxa	GCF_000972785.3	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_000934605.2	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_001029105.3	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_000807775.2	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_001465595.2	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_000815105.2	0.0	0.22	o__Burkholderiales	4	0.0	0.11	0.0
soxa	GCF_001465545.3	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_900096765.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_013307245.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_003065365.1	0.0	0.02	o__Burkholderiales	4	0.0	0.01	0.0
soxa	GCF_003065385.1	0.0	0.03	o__Burkholderiales	4	0.0	0.015	0.0
soxa	GCF_001598055.1	0.31	0.29	o__Burkholderiales	4	0.29	0.3	0.0
soxa	GCF_000069785.1	0.27	0.35	o__Burkholderiales	4	0.27	0.31	0.0
soxa	GCF_000219215.1	0.33	0.28	o__Burkholderiales	4	0.28	0.30500000000000005	0.0
soxa	GCF_016894385.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_008801925.2	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_001854325.1	0.0	0.01	o__Burkholderiales	4	0.0	0.005	0.0
soxa	GCF_964332355.1	0.06	0.09	o__Burkholderiales	4	0.06	0.075	0.0
soxa	GCF_018243235.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_024925465.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxa	GCF_022811525.1	0.89	0.79	o__Burkholderiales	4	0.79	0.8400000000000001	1.0
soxa	GCF_013004065.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_036323495.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxa	GCF_003721225.2	0.0	0.0	o__Acidithiobacillales	3	0.0	0.0	0.0
soxa	GCF_048300925.1	0.0	0.0	o__Acidithiobacillales	3	0.0	0.0	0.0
soxa	GCF_018736085.1	0.08	0.14	o__Rhizobiales	4	0.08	0.11000000000000001	0.0
soxa	GCF_000013885.1	0.04	0.05	o__Rhizobiales	4	0.04	0.045	0.0
soxa	GCF_029030725.1	0.0	0.01	o__Rhizobiales	4	0.0	0.005	0.0
soxa	GCF_000218565.1	0.0	0.01	o__Rhizobiales	4	0.0	0.005	0.0
soxa	GCF_003966715.1	0.23	0.12	o__Rhizobiales	4	0.12	0.175	0.0
soxa	GCF_016807805.1	0.04	0.03	o__Rhizobiales	4	0.03	0.035	0.0
soxa	GCF_014495845.1	0.1	0.0	o__Rhizobiales	4	0.0	0.05	0.0
soxa	GCF_001889605.1	0.13	0.0	o__Rhizobiales	4	0.0	0.065	0.0
soxa	GCF_007922615.2	0.05	0.0	o__Rhizobiales	4	0.0	0.025	0.0
soxa	GCF_013358405.1	0.83	0.05	o__Rhizobiales	4	0.05	0.44	0.0
soxa	GCF_000967425.1	0.76	0.97	o__Rhizobiales	4	0.76	0.865	1.0
soxa	GCF_014126615.1	0.91	0.9	o__Rhizobiales	3	0.9	0.905	1.0
soxa	GCF_000154705.2	0.59	0.94	o__Rhizobiales	4	0.59	0.7649999999999999	1.0
soxa	GCF_026898155.1	0.0	0.02	o__Rhizobiales	4	0.0	0.01	0.0
soxa	GCF_001953055.1	0.0	0.87	o__Rhizobiales	3	0.0	0.435	0.0
soxa	GCF_900231165.1	0.88	0.92	o__Rhizobiales	4	0.88	0.9	1.0
soxa	GCF_040269895.1	0.9	0.85	o__Rhizobiales	4	0.85	0.875	1.0
soxa	GCF_026191725.2	0.8	0.85	o__Rhizobiales	4	0.8	0.825	1.0
soxa	GCF_001999245.1	0.0	0.04	o__Rhizobiales	4	0.0	0.02	0.0
soxa	GCF_000158095.2	0.0	0.04	o__Rhizobiales	4	0.0	0.02	0.0
soxa	GCF_000192745.1	0.85	0.8	o__Rhizobiales	4	0.8	0.825	1.0
soxa	GCF_009789575.1	0.02	0.42	o__Rhizobiales	4	0.02	0.22	0.0
soxa	GCF_018282095.1	0.13	0.37	o__Rhizobiales	4	0.13	0.25	0.0
soxa	GCF_000143145.1	0.65	0.73	o__Rhizobiales	4	0.65	0.69	1.0
soxa	GCF_029958925.1	0.04	0.09	o__Rhodobacterales	4	0.04	0.065	0.0
soxa	GCF_039724765.1	0.87	0.88	o__Rhodobacterales	4	0.87	0.875	1.0
soxa	GCF_016806125.1	0.92	0.84	o__Rhodobacterales	4	0.84	0.88	1.0
soxa	GCF_001969385.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_001975705.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_040409955.1	0.0	0.06	o__Rhodobacterales	4	0.0	0.03	0.0
soxa	GCF_040580765.1	0.19	0.03	o__Rhodobacterales	4	0.03	0.11	0.0
soxa	GCF_034555965.2	0.18	0.07	o__Rhodobacterales	4	0.07	0.125	0.0
soxa	GCF_025639885.1	0.0	0.04	o__Rhodobacterales	4	0.0	0.02	0.0
soxa	GCF_009762325.1	0.0	0.03	o__Rhodobacterales	4	0.0	0.015	0.0
soxa	GCF_032842945.2	0.83	0.8	o__Rhodobacterales	4	0.8	0.815	1.0
soxa	GCF_008728195.1	0.92	0.92	o__Rhodobacterales	4	0.92	0.92	1.0
soxa	GCF_000511385.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_001888185.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_000511355.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_025857195.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_030285785.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_004006175.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_045277565.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_000011965.2	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_003008555.2	0.03	0.02	o__Rhodobacterales	4	0.02	0.025	0.0
soxa	GCF_040790665.1	0.85	0.8	o__Rhodobacterales	4	0.8	0.825	1.0
soxa	GCF_022788655.1	0.91	0.83	o__Rhodobacterales	4	0.83	0.87	1.0
soxa	GCF_000154785.2	0.02	0.02	o__Rhodobacterales	4	0.02	0.02	0.0
soxa	GCF_012932215.1	0.4	0.33	o__Rhodobacterales	4	0.33	0.365	0.0
soxa	GCF_014337925.2	0.02	0.02	o__Rhodobacterales	4	0.02	0.02	0.0
soxa	GCF_047715485.1	0.33	0.2	o__Rhodobacterales	4	0.2	0.265	0.0
soxa	GCF_038443675.1	0.02	0.02	o__Rhodobacterales	4	0.02	0.02	0.0
soxa	GCF_001187845.1	0.02	0.01	o__Rhodobacterales	4	0.01	0.015	0.0
soxa	GCF_044772865.1	0.74	0.73	o__Rhodobacterales	4	0.73	0.735	1.0
soxa	GCF_001308265.1	0.84	0.13	o__Rhodobacterales	4	0.13	0.485	0.0
soxa	GCF_003544895.1	0.86	0.88	o__Rhodobacterales	4	0.86	0.87	1.0
soxa	GCF_000590925.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_030407165.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_029853695.1	0.78	0.18	o__Rhodobacterales	4	0.18	0.48	0.0
soxa	GCF_000018145.1	0.82	0.78	o__Rhodobacterales	4	0.78	0.8	1.0
soxa	GCF_002504165.1	0.02	0.02	o__Rhodobacterales	4	0.02	0.02	0.0
soxa	GCF_001633165.1	0.05	0.01	o__Rhodobacterales	4	0.01	0.030000000000000002	0.0
soxa	GCF_029953595.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_005234135.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_028553745.1	0.0	0.0	o__Rhodobacterales	3	0.0	0.0	0.0
soxa	GCF_028553805.1	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_002865605.1	0.01	0.01	o__Rhodobacterales	4	0.01	0.01	0.0
soxa	GCF_008824185.1	0.89	0.92	o__Rhodobacterales	4	0.89	0.905	1.0
soxa	GCF_003324675.1	0.01	0.0	o__Rhodobacterales	4	0.0	0.005	0.0
soxa	GCF_002085925.2	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_001940525.2	0.0	0.0	o__Rhodobacterales	4	0.0	0.0	0.0
soxa	GCF_001620265.1	0.94	0.9	o__Rhodobacterales	4	0.9	0.9199999999999999	1.0
soxa	GCF_026409565.1	0.09	0.06	o__Sneathiellales	4	0.06	0.075	0.0
soxa	GCF_000202835.1	0.9	0.86	o__Acetobacterales	4	0.86	0.88	1.0
soxa	GCF_029318635.1	0.08	0.06	o__Rhodospirillales	3	0.06	0.07	0.0
soxa	GCF_003403095.1	0.92	0.94	o__Rhodospirillales	4	0.92	0.9299999999999999	1.0
soxa	GCF_001305595.1	0.86	0.87	o__Azospirillales	4	0.86	0.865	1.0
soxa	GCF_016653635.2	0.94	0.9	o__Azospirillales	4	0.9	0.9199999999999999	1.0
soxa	GCF_024662015.1	0.66	0.54	o__Thalassobaculales	4	0.54	0.6000000000000001	1.0
soxa	GCF_001723605.1	0.27	0.33	o__Campylobacterales	4	0.27	0.30000000000000004	0.0
soxa	GCF_000987835.1	0.01	0.0	o__Campylobacterales	4	0.0	0.005	0.0
soxa	GCF_014931715.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_000186245.1	0.31	0.45	o__Campylobacterales	4	0.31	0.38	0.0
soxa	GCF_030296055.1	0.0	0.0	o__Campylobacterales	3	0.0	0.0	0.0
soxa	GCF_027946175.1	0.0	0.0	o__Campylobacterales	3	0.0	0.0	0.0
soxa	GCF_027943725.1	0.0	0.0	o__Campylobacterales	3	0.0	0.0	0.0
soxa	GCF_017357825.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_000242915.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_047716755.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_015265455.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_015265475.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_009068765.1	0.0	0.0	o__Campylobacterales	3	0.0	0.0	0.0
soxa	GCF_014905115.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_000147355.1	0.26	0.28	o__Campylobacterales	4	0.26	0.27	0.0
soxa	GCF_014905135.1	0.28	0.25	o__Campylobacterales	4	0.25	0.265	0.0
soxa	GCF_014905095.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_000012965.1	0.08	0.11	o__Campylobacterales	4	0.08	0.095	0.0
soxa	GCF_039645965.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_039645985.1	0.0	0.0	o__Campylobacterales	3	0.0	0.0	0.0
soxa	GCF_039645565.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_039645585.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_021044585.1	0.29	0.2	o__Campylobacterales	4	0.2	0.245	0.0
soxa	GCF_039645995.1	0.28	0.31	o__Campylobacterales	4	0.28	0.29500000000000004	0.0
soxa	GCF_000183725.1	0.08	0.09	o__Campylobacterales	3	0.08	0.08499999999999999	0.0
soxa	GCF_013201665.1	0.0	0.01	o__Campylobacterales	4	0.0	0.005	0.0
soxa	GCF_003544815.1	0.13	0.14	o__Campylobacterales	4	0.13	0.135	0.0
soxa	GCF_013177675.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_013177635.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_013201935.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_003544915.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_013201725.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_003660105.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_003355515.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_004214815.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_004299785.2	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_003544835.1	0.88	0.9	o__Campylobacterales	4	0.88	0.89	1.0
soxa	GCF_013201625.1	0.01	0.0	o__Campylobacterales	4	0.0	0.005	0.0
soxa	GCF_013372265.1	0.0	0.02	o__Campylobacterales	4	0.0	0.01	0.0
soxa	GCF_013201705.1	0.0	0.02	o__Campylobacterales	4	0.0	0.01	0.0
soxa	GCF_004214795.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_001956695.1	0.02	0.01	o__Campylobacterales	4	0.01	0.015	0.0
soxa	GCF_013283835.1	0.01	0.06	o__Campylobacterales	4	0.01	0.034999999999999996	0.0
soxa	GCF_024267655.1	0.01	0.06	o__Campylobacterales	4	0.01	0.034999999999999996	0.0
soxa	GCF_003346815.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_006459125.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_013201825.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_042214795.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_000092245.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_003544855.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_003544935.1	0.0	0.0	o__Campylobacterales	4	0.0	0.0	0.0
soxa	GCF_000022145.1	0.88	0.9	o__Myxococcales	4	0.88	0.89	1.0
soxa	GCF_011006175.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_000512735.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_000025605.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_900142435.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_000008625.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_000021565.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_000021545.1	0.0	0.0	o__Aquificales	3	0.0	0.0	0.0
soxa	GCF_000020645.1	0.0	0.0	o__Chlorobiales	3	0.0	0.0	0.0
soxa	GCF_001747405.1	0.0	0.0	o__Chlorobiales	3	0.0	0.0	0.0
soxa	GCF_000006985.1	0.0	0.0	o__Chlorobiales	3	0.0	0.0	0.0
soxa	GCF_000020505.1	0.0	0.0	o__Chlorobiales	3	0.0	0.0	0.0
soxa	GCF_027923555.1	0.02	0.02	o__Vulcanimicrobiales	4	0.02	0.02	0.0
soxb	GCF_002795845.1	0.33	0.84	o__Pseudomonadales	4	0.33	0.585	0.0
soxb	GCF_024347195.1	0.0	0.0	o__Pseudomonadales	3	0.0	0.0	0.0
soxb	GCF_024347215.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_008630635.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_001854125.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_017301335.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_009650135.1	0.35	0.0	o__Pseudomonadales	4	0.0	0.175	0.0
soxb	GCF_033723955.1	0.89	0.76	o__Pseudomonadales	4	0.76	0.825	1.0
soxb	GCF_009910365.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_000153125.2	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_045689245.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_045689235.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxb	GCF_001305575.3	0.01	0.0	o__Beggiatoales	3	0.0	0.005	0.0
soxb	GCF_000968535.2	0.29	0.81	o__Methylococcales	4	0.29	0.55	0.0
soxb	GCF_001007875.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxb	GCF_000828615.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxb	GCF_009497875.2	0.82	0.81	o__Chromatiales	3	0.81	0.815	1.0
soxb	GCF_000227745.2	0.26	0.17	o__Chromatiales	3	0.17	0.21500000000000002	0.0
soxb	GCF_000025485.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxb	GCF_011290485.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxb	GCF_000224005.2	0.4	0.29	o__Chromatiales	3	0.29	0.345	0.0
soxb	GCF_021228795.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxb	GCF_033954455.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxb	GCF_004001245.1	0.02	0.0	o__Thiohalomonadales	3	0.0	0.01	0.0
soxb	GCF_013343005.1	0.49	0.58	o__GCF-013343005	3	0.49	0.5349999999999999	0.0
soxb	GCF_003967195.1	0.49	0.56	o__AKS1	3	0.49	0.525	0.0
soxb	GCF_034479635.1	0.0	0.0	o__Halothiobacillales	4	0.0	0.0	0.0
soxb	GCF_000024765.1	0.0	0.0	o__Halothiobacillales	4	0.0	0.0	0.0
soxb	GCF_001663815.1	0.0	0.0	o__Halothiobacillales	4	0.0	0.0	0.0
soxb	GCF_002215215.1	0.85	0.79	o__Granulosicoccales	4	0.79	0.8200000000000001	1.0
soxb	GCF_021650935.1	0.95	0.87	o__Thiotrichales	3	0.87	0.9099999999999999	1.0
soxb	GCF_017901135.1	0.0	0.0	o__Thiotrichales	3	0.0	0.0	0.0
soxb	GCF_017901155.1	0.0	0.0	o__Thiotrichales	3	0.0	0.0	0.0
soxb	GCF_017901175.1	0.0	0.0	o__Thiotrichales	3	0.0	0.0	0.0
soxb	GCF_000227685.2	0.0	0.0	o__Ectothiorhodospirales	3	0.0	0.0	0.0
soxb	GCF_000321415.2	0.0	0.0	o__Ectothiorhodospirales	3	0.0	0.0	0.0
soxb	GCF_047222355.1	0.0	0.0	o__Ectothiorhodospirales	3	0.0	0.0	0.0
soxb	GCF_000021985.1	0.0	0.0	o__Ectothiorhodospirales	3	0.0	0.0	0.0
soxb	GCF_001753245.1	0.0	0.0	o__DSM-5130	3	0.0	0.0	0.0
soxb	GCF_001753165.1	0.0	0.0	o__DSM-5130	3	0.0	0.0	0.0
soxb	GCF_000015585.1	0.06	0.0	o__Nitrococcales	3	0.0	0.03	0.0
soxb	GCF_050749815.1	0.88	0.83	o__Xanthomonadales	4	0.83	0.855	1.0
soxb	GCF_004786015.1	0.93	0.88	o__Thiomicrospirales	3	0.88	0.905	1.0
soxb	GCF_002355735.1	0.0	0.0	o__Acidiferrobacterales	3	0.0	0.0	0.0
soxb	GCF_002355415.1	0.0	0.0	o__Acidiferrobacterales	3	0.0	0.0	0.0
soxb	GCF_035621355.1	0.3	0.24	o__Burkholderiales	3	0.24	0.27	0.0
soxb	GCF_003967275.1	0.23	0.34	o__Burkholderiales	3	0.23	0.28500000000000003	0.0
soxb	GCF_009938015.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxb	GCF_009937995.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxb	GCF_000297055.2	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxb	GCF_011764585.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
soxb	GCF_013003965.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxb	GCF_013003985.1	0.0	0.0	o__Burkholderiales	4	0.0	0.0	0.0
soxb	GCF_000025705.1	0.93	0.87	o__Burkholderiales	3	0.87	0.9	1.0
soxb	GCF_000828635.1	0.0	0.0	o__Burkholderiales	3	0.0	0.0	0.0
