family	donor_node	recipient_node	donor_is_terminal	recipient_is_terminal	sample_support_count	sample_support	recipient_class	recipient_order	donor_class	donor_order
soxa	node_231	node_181	False	False	27	0.27				
soxa	GCF_003544815.1	node_215	True	False	9	0.09			c__Campylobacteria	o__Campylobacterales
soxa	node_108	GCF_000202835.1	False	True	9	0.09	c__Alphaproteobacteria	o__Acetobacterales		
soxa	node_90	GCF_022811525.1	False	True	29	0.29	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_123	node_49	False	False	2	0.02				
soxa	node_59	GCF_050749815.1	False	True	75	0.75	c__Gammaproteobacteria	o__Xanthomonadales		
soxa	GCF_000018145.1	node_138	True	False	2	0.02			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_84	GCF_000815105.2	False	True	22	0.22	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_189	node_184	False	False	4	0.04				
soxa	node_70	node_71	False	False	2	0.02				
soxa	node_50	node_60	False	False	1	0.01				
soxa	GCF_024267655.1	node_207	True	False	83	0.83			c__Campylobacteria	o__Campylobacterales
soxa	GCF_044772865.1	node_154	True	False	22	0.22			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_006970865.1	GCF_000215705.1	True	True	11	0.11	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_013307245.1	node_88	True	False	80	0.8			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_001308265.1	node_137	True	False	39	0.39			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_045277565.1	node_127	True	False	30	0.3			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_181	node_236	False	False	19	0.19				
soxa	node_65	GCF_007954405.1	False	True	32	0.32	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_181	GCF_000183725.1	False	True	1	0.01	c__Campylobacteria	o__Campylobacterales		
soxa	node_50	node_179	False	False	3	0.03				
soxa	GCF_000192745.1	node_104	True	False	1	0.01			c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_002795845.1	node_237	True	False	91	0.91			c__Gammaproteobacteria	o__Pseudomonadales
soxa	node_6	node_13	False	False	43	0.43				
soxa	GCF_013358405.1	GCF_002215215.1	True	True	86	0.86	c__Gammaproteobacteria	o__Granulosicoccales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_025857195.1	node_146	True	False	88	0.88			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_124	node_31	False	False	1	0.01				
soxa	node_135	GCF_001308265.1	False	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_57	node_93	False	False	7	0.07				
soxa	GCF_006970865.1	node_75	True	False	3	0.03			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_029318635.1	GCF_026409565.1	True	True	4	0.04	c__Alphaproteobacteria	o__Sneathiellales	c__Alphaproteobacteria	o__Rhodospirillales
soxa	node_59	GCF_000022145.1	False	True	78	0.78	c__Myxococcia	o__Myxococcales		
soxa	node_1	GCF_016653635.2	False	True	46	0.46	c__Alphaproteobacteria	o__Azospirillales		
soxa	GCF_047549485.1	node_81	True	False	72	0.72			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_014495845.1	GCF_000967425.1	True	True	97	0.97	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	node_153	node_111	False	False	1	0.01				
soxa	GCF_047549485.1	node_100	True	False	71	0.71			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_016806125.1	node_165	True	False	8	0.08			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_95	GCF_000069785.1	False	True	35	0.35	c__Gammaproteobacteria	o__Burkholderiales		
soxa	GCF_032842945.2	GCF_012932215.1	True	True	17	0.17	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_50	node_90	False	False	9	0.09				
soxa	GCF_029953595.1	GCF_008824185.1	True	True	92	0.92	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_170	GCF_001620265.1	False	True	33	0.33	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_18	node_182	False	False	54	0.54				
soxa	node_36	GCF_009497875.2	False	True	95	0.95	c__Gammaproteobacteria	o__Chromatiales		
soxa	GCF_000297055.2	GCF_000025705.1	True	True	65	0.65	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	node_209	node_229	False	False	51	0.51				
soxa	GCF_013201825.1	node_228	True	False	88	0.88			c__Campylobacteria	o__Campylobacterales
soxa	GCF_039645965.1	node_196	True	False	86	0.86			c__Campylobacteria	o__Campylobacterales
soxa	node_5	node_45	False	False	45	0.45				
soxa	GCF_016806125.1	node_153	True	False	8	0.08			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_003008555.2	node_156	True	False	14	0.14			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_025639885.1	node_157	True	False	84	0.84			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_135	GCF_029853695.1	False	True	9	0.09	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_185	node_208	False	False	14	0.14				
soxa	node_209	GCF_003544815.1	False	True	4	0.04	c__Campylobacteria	o__Campylobacterales		
soxa	node_153	GCF_044772865.1	False	True	19	0.19	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_0	GCF_016653635.2	False	True	40	0.4	c__Alphaproteobacteria	o__Azospirillales		
soxa	node_18	node_181	False	False	5	0.05				
soxa	GCF_964332355.1	node_98	True	False	65	0.65			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_57	node_92	False	False	61	0.61				
soxa	GCF_000202835.1	node_108	True	False	12	0.12			c__Alphaproteobacteria	o__Acetobacterales
soxa	GCF_020162115.1	node_63	True	False	42	0.42			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_6	node_45	False	False	17	0.17				
soxa	GCF_000186245.1	node_208	True	False	22	0.22			c__Campylobacteria	o__Campylobacterales
soxa	node_13	GCF_013343005.1	False	True	3	0.03	c__Gammaproteobacteria	o__GCF-013343005		
soxa	GCF_013343005.1	node_29	True	False	5	0.05			c__Gammaproteobacteria	o__GCF-013343005
soxa	GCF_040790665.1	GCF_026191725.2	True	True	14	0.14	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_168	node_172	False	False	45	0.45				
soxa	node_131	GCF_016806125.1	False	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_131	node_122	False	False	3	0.03				
soxa	node_184	node_189	False	False	88	0.88				
soxa	node_130	GCF_040790665.1	False	True	16	0.16	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_52	node_71	False	False	13	0.13				
soxa	GCF_002222655.1	GCF_023734135.1	True	True	83	0.83	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_007954405.1	node_65	True	False	30	0.3			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_002504165.1	node_164	True	False	88	0.88			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_127	node_130	False	False	6	0.06				
soxa	node_230	node_8	False	False	17	0.17				
soxa	node_66	GCF_006970865.1	False	True	52	0.52	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_18	GCF_000202835.1	False	True	43	0.43	c__Alphaproteobacteria	o__Acetobacterales		
soxa	GCF_000192745.1	node_105	True	False	5	0.05			c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000968535.2	node_13	True	False	1	0.01			c__Gammaproteobacteria	o__Methylococcales
soxa	node_52	GCF_001305595.1	False	True	26	0.26	c__Alphaproteobacteria	o__Azospirillales		
soxa	GCF_014905135.1	node_200	True	False	37	0.37			c__Campylobacteria	o__Campylobacterales
soxa	GCF_022811525.1	node_90	True	False	47	0.47			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_025639885.1	node_155	True	False	10	0.1			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_230	node_232	False	False	19	0.19				
soxa	GCF_000219215.1	GCF_001598055.1	True	True	29	0.29	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	node_13	GCF_000968535.2	False	True	4	0.04	c__Gammaproteobacteria	o__Methylococcales		
soxa	node_233	GCF_000192745.1	False	True	10	0.1	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_148	node_127	False	False	42	0.42				
soxa	node_210	node_212	False	False	43	0.43				
soxa	node_210	node_229	False	False	26	0.26				
soxa	node_29	node_27	False	False	6	0.06				
soxa	GCF_000192745.1	node_35	True	False	18	0.18			c__Alphaproteobacteria	o__Rhizobiales
soxa	node_108	GCF_018736085.1	False	True	7	0.07	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_230	node_181	False	False	10	0.1				
soxa	GCF_003008555.2	GCF_022788655.1	True	True	83	0.83	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_020162115.1	GCF_007954405.1	True	True	17	0.17	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_002504165.1	node_159	True	False	69	0.69			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_131	node_153	False	False	3	0.03				
soxa	node_65	node_76	False	False	50	0.5				
soxa	GCF_016807805.1	GCF_000143145.1	True	True	71	0.71	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	node_52	GCF_022811525.1	False	True	40	0.4	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_112	node_175	False	False	10	0.1				
soxa	node_194	GCF_000012965.1	False	True	5	0.05	c__Campylobacteria	o__Campylobacterales		
soxa	GCF_040790665.1	node_143	True	False	40	0.4			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000192745.1	node_49	True	False	12	0.12			c__Alphaproteobacteria	o__Rhizobiales
soxa	node_171	GCF_001620265.1	False	True	27	0.27	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_131	node_165	False	False	3	0.03				
soxa	GCF_047549485.1	node_99	True	False	12	0.12			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_158	GCF_032842945.2	False	True	14	0.14	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	GCF_018282095.1	node_178	True	False	7	0.07			c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_009789575.1	node_112	True	False	5	0.05			c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_040409955.1	node_139	True	False	6	0.06			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_045277565.1	node_161	True	False	9	0.09			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_42	node_51	False	False	13	0.13				
soxa	node_156	node_143	False	False	5	0.05				
soxa	node_229	node_210	False	False	4	0.04				
soxa	node_231	node_232	False	False	20	0.2				
soxa	node_231	node_7	False	False	4	0.04				
soxa	GCF_039645995.1	GCF_021044585.1	True	True	20	0.2	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	node_205	node_185	False	False	1	0.01				
soxa	node_24	node_29	False	False	20	0.2				
soxa	node_176	node_240	False	False	27	0.27				
soxa	node_6	node_10	False	False	2	0.02				
soxa	node_106	GCF_000192745.1	False	True	38	0.38	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_001305595.1	GCF_022811525.1	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Alphaproteobacteria	o__Azospirillales
soxa	node_156	GCF_026191725.2	False	True	7	0.07	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_20	GCF_000968535.2	False	True	34	0.34	c__Gammaproteobacteria	o__Methylococcales		
soxa	node_60	GCF_033723955.1	False	True	35	0.35	c__Gammaproteobacteria	o__Pseudomonadales		
soxa	GCF_001305595.1	node_62	True	False	2	0.02			c__Alphaproteobacteria	o__Azospirillales
soxa	node_39	GCF_001305595.1	False	True	1	0.01	c__Alphaproteobacteria	o__Azospirillales		
soxa	node_130	node_156	False	False	7	0.07				
soxa	node_64	node_62	False	False	9	0.09				
soxa	node_175	GCF_009789575.1	False	True	38	0.38	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_55	node_39	False	False	1	0.01				
soxa	node_10	node_14	False	False	4	0.04				
soxa	node_57	node_51	False	False	4	0.04				
soxa	GCF_039724765.1	GCF_040409955.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_175	node_113	False	False	47	0.47				
soxa	GCF_014905135.1	node_199	True	False	6	0.06			c__Campylobacteria	o__Campylobacterales
soxa	node_18	node_180	False	False	7	0.07				
soxa	node_10	GCF_009650135.1	False	True	1	0.01	c__Gammaproteobacteria	o__Pseudomonadales		
soxa	node_178	GCF_018282095.1	False	True	17	0.17	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_165	GCF_000018145.1	False	True	12	0.12	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	GCF_014495845.1	node_119	True	False	3	0.03			c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_021049305.1	GCF_000015725.1	True	True	86	0.86	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	node_65	GCF_006970865.1	False	True	25	0.25	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_35	node_55	False	False	1	0.01				
soxa	node_165	GCF_016806125.1	False	True	11	0.11	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	GCF_012932215.1	GCF_032842945.2	True	True	23	0.23	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000012965.1	node_194	True	False	69	0.69			c__Campylobacteria	o__Campylobacterales
soxa	GCF_000815105.2	node_84	True	False	29	0.29			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_127	node_165	False	False	6	0.06				
soxa	GCF_039724765.1	node_141	True	False	5	0.05			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_10	node_20	False	False	1	0.01				
soxa	node_233	node_35	False	False	21	0.21				
soxa	GCF_002865605.1	GCF_001620265.1	True	True	30	0.3	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_022811525.1	node_52	True	False	2	0.02			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_001308265.1	node_139	True	False	2	0.02			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_35	node_106	False	False	18	0.18				
soxa	node_153	node_174	False	False	9	0.09				
soxa	node_13	node_23	False	False	41	0.41				
soxa	node_18	GCF_001723605.1	False	True	13	0.13	c__Campylobacteria	o__Campylobacterales		
soxa	node_131	node_135	False	False	8	0.08				
soxa	GCF_018282095.1	GCF_024662015.1	True	True	51	0.51	c__Alphaproteobacteria	o__Thalassobaculales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_001598055.1	GCF_000219215.1	True	True	28	0.28	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_047715485.1	GCF_044772865.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_022811525.1	node_89	True	False	5	0.05			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_52	GCF_040269895.1	False	True	18	0.18	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_98	GCF_964332355.1	False	True	9	0.09	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_49	node_104	False	False	2	0.02				
soxa	node_109	GCF_000202835.1	False	True	30	0.3	c__Alphaproteobacteria	o__Acetobacterales		
soxa	GCF_026191725.2	node_155	True	False	2	0.02			c__Alphaproteobacteria	o__Rhizobiales
soxa	node_66	node_76	False	False	29	0.29				
soxa	GCF_047715485.1	GCF_012932215.1	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_177	node_240	False	False	33	0.33				
soxa	GCF_000013885.1	node_110	True	False	70	0.7			c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_047715485.1	node_122	True	False	1	0.01			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_016806125.1	GCF_047715485.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_130	GCF_026191725.2	False	True	36	0.36	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_209	node_205	False	False	5	0.05				
soxa	node_174	node_113	False	False	5	0.05				
soxa	node_222	node_220	False	False	1	0.01				
soxa	node_123	node_174	False	False	3	0.03				
soxa	GCF_003008555.2	node_144	True	False	7	0.07			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_18	node_109	False	False	32	0.32				
soxa	node_50	node_71	False	False	28	0.28				
soxa	node_66	node_70	False	False	9	0.09				
soxa	node_104	GCF_000192745.1	False	True	4	0.04	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_013201705.1	node_222	True	False	1	0.01			c__Campylobacteria	o__Campylobacterales
soxa	GCF_001723605.1	node_208	True	False	9	0.09			c__Campylobacteria	o__Campylobacterales
soxa	GCF_021044585.1	GCF_039645995.1	True	True	31	0.31	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	node_208	GCF_000186245.1	False	True	24	0.24	c__Campylobacteria	o__Campylobacterales		
soxa	GCF_001305575.3	GCF_000015585.1	True	True	24	0.24	c__Gammaproteobacteria	o__Nitrococcales	c__Gammaproteobacteria	o__Beggiatoales
soxa	node_104	node_35	False	False	2	0.02				
soxa	node_13	node_12	False	False	34	0.34				
soxa	GCF_040269895.1	GCF_001305595.1	True	True	42	0.42	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxa	node_127	node_128	False	False	24	0.24				
soxa	GCF_047715485.1	node_153	True	False	3	0.03			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_020162115.1	node_69	True	False	10	0.1			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_002504165.1	node_132	True	False	16	0.16			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_231	GCF_001305575.3	False	True	15	0.15	c__Gammaproteobacteria	o__Beggiatoales		
soxa	node_231	node_1	False	False	2	0.02				
soxa	node_209	node_212	False	False	21	0.21				
soxa	node_233	node_49	False	False	42	0.42				
soxa	node_57	node_91	False	False	14	0.14				
soxa	GCF_047549485.1	node_73	True	False	8	0.08			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_003065385.1	node_89	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_014337925.2	GCF_000154785.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_044772865.1	node_149	True	False	2	0.02			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_79	GCF_050749815.1	False	True	2	0.02	c__Gammaproteobacteria	o__Xanthomonadales		
soxa	node_13	node_10	False	False	4	0.04				
soxa	node_113	node_175	False	False	16	0.16				
soxa	node_123	node_113	False	False	12	0.12				
soxa	node_79	GCF_000022145.1	False	True	4	0.04	c__Myxococcia	o__Myxococcales		
soxa	node_79	node_40	False	False	3	0.03				
soxa	GCF_006970865.1	node_76	True	False	8	0.08			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_025639885.1	GCF_014337925.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_002795845.1	node_0	True	False	9	0.09			c__Gammaproteobacteria	o__Pseudomonadales
soxa	GCF_032842945.2	node_154	True	False	2	0.02			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_59	node_100	False	False	3	0.03				
soxa	node_52	node_90	False	False	20	0.2				
soxa	node_50	GCF_040269895.1	False	True	23	0.23	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_000018145.1	node_103	True	False	1	0.01			c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_013372265.1	node_221	True	False	9	0.09			c__Campylobacteria	o__Campylobacterales
soxa	node_188	node_236	False	False	2	0.02				
soxa	node_189	node_187	False	False	2	0.02				
soxa	node_111	node_137	False	False	1	0.01				
soxa	node_130	node_126	False	False	10	0.1				
soxa	GCF_044772865.1	GCF_032842945.2	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_184	node_208	False	False	11	0.11				
soxa	GCF_008728195.1	GCF_003008555.2	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_231	node_188	False	False	2	0.02				
soxa	node_50	node_62	False	False	27	0.27				
soxa	node_25	node_29	False	False	9	0.09				
soxa	GCF_013307245.1	GCF_003065385.1	True	True	2	0.02	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_026191725.2	GCF_040790665.1	True	True	21	0.21	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxa	node_154	GCF_008728195.1	False	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_70	GCF_020162115.1	False	True	9	0.09	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_111	GCF_044772865.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_35	node_49	False	False	21	0.21				
soxa	node_13	node_14	False	False	5	0.05				
soxa	node_148	node_161	False	False	3	0.03				
soxa	GCF_025857195.1	node_145	True	False	10	0.1			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_79	node_81	False	False	1	0.01				
soxa	node_82	node_83	False	False	8	0.08				
soxa	node_183	GCF_000183725.1	False	True	6	0.06	c__Campylobacteria	o__Campylobacterales		
soxa	node_198	node_199	False	False	2	0.02				
soxa	node_144	GCF_012932215.1	False	True	5	0.05	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_236	node_183	False	False	3	0.03				
soxa	node_128	node_174	False	False	1	0.01				
soxa	node_81	node_39	False	False	2	0.02				
soxa	GCF_007954405.1	node_62	True	False	6	0.06			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_013307245.1	node_40	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_106	node_35	False	False	16	0.16				
soxa	node_106	node_124	False	False	4	0.04				
soxa	node_50	node_69	False	False	2	0.02				
soxa	GCF_009650135.1	node_29	True	False	1	0.01			c__Gammaproteobacteria	o__Pseudomonadales
soxa	node_5	node_44	False	False	10	0.1				
soxa	GCF_007954405.1	node_72	True	False	4	0.04			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_130	node_149	False	False	1	0.01				
soxa	GCF_007954405.1	node_90	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
