assembly_accession	n_cds	n_sox_hits	n_excluded_pseudogene_or_partial_sox_hits	n_distinct_sox_genes	sox_genes	n_mobile_features	sox_with_mobile_within_20kb	refseq_category	taxid	species_taxid	organism_name	assembly_level	group	genome_size	gc_percent	scaffold_count	contig_count	annotation_provider	annotation_date	ftp_path	gff_url	protein_url	genome_url	gtdb_accession	gtdb_lineage	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	has_soxB	has_carrier_YZ	has_cytochrome_AX	has_dehydrogenase_CD	module_completeness	module_class	gtdb_mapped
GCF_000018145.1	4294	7	0	6	soxa,soxb,soxc,soxx,soxy,soxz	98	1	reference genome	398580	215813	Dinoroseobacter shibae DFL 12 = DSM 16493	Complete Genome	bacteria	4417868	65.500000	6	6	NCBI RefSeq	2026-05-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/145/GCF_000018145.1_ASM1814v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/145/GCF_000018145.1_ASM1814v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/145/GCF_000018145.1_ASM1814v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/145/GCF_000018145.1_ASM1814v1//_genomic.fna.gz	RS_GCF_000018145.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Dinoroseobacter;s__Dinoroseobacter shibae	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Dinoroseobacter	s__Dinoroseobacter shibae	True	True	True	True	4	complete	True
GCF_000019785.1	4412	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	59	0	reference genome	395495	34029	Leptothrix cholodnii SP-6	Complete Genome	bacteria	4909403	69.000000	1	1	NCBI RefSeq	2026-03-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/785/GCF_000019785.1_ASM1978v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/785/GCF_000019785.1_ASM1978v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/785/GCF_000019785.1_ASM1978v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/785/GCF_000019785.1_ASM1978v1//_genomic.fna.gz	RS_GCF_000019785.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Sphaerotilus;s__Sphaerotilus cholodnii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Sphaerotilus	s__Sphaerotilus cholodnii	True	True	True	True	4	complete	True
GCF_000019945.1	5493	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	96	6	reference genome	441620	223967	Methylorubrum populi BJ001	Complete Genome	bacteria	5848997	69.500000	3	3	NCBI RefSeq	2026-03-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1//_genomic.fna.gz	RS_GCF_000019945.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium thiocyanatum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium thiocyanatum	True	True	True	True	4	complete	True
GCF_000020505.1	2108	5	0	5	soxa,soxb,soxx,soxy,soxz	6	0	reference genome	517417	274539	Chlorobaculum parvum NCIB 8327	Complete Genome	bacteria	2289249	56.000000	1	1	NCBI RefSeq	2025-12-13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/505/GCF_000020505.1_ASM2050v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/505/GCF_000020505.1_ASM2050v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/505/GCF_000020505.1_ASM2050v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/505/GCF_000020505.1_ASM2050v1//_genomic.fna.gz	RS_GCF_000020505.1	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum parvum_A	d__Bacteria	p__Bacteroidota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobaculum	s__Chlorobaculum parvum_A	True	True	True	False	3	near_complete	True
GCF_000020645.1	2872	7	0	5	soxa,soxb,soxx,soxy,soxz	66	4	reference genome	324925	34090	Pelodictyon phaeoclathratiforme BU-1	Complete Genome	bacteria	3018238	48.000000	1	1	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/645/GCF_000020645.1_ASM2064v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/645/GCF_000020645.1_ASM2064v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/645/GCF_000020645.1_ASM2064v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/645/GCF_000020645.1_ASM2064v1//_genomic.fna.gz	RS_GCF_000020645.1	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme	d__Bacteria	p__Bacteroidota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobium	s__Chlorobium phaeoclathratiforme	True	True	True	False	3	near_complete	True
GCF_000021545.1	1724	5	0	5	soxa,soxb,soxx,soxy,soxz	29	3	reference genome	204536	309806	Sulfurihydrogenibium azorense Az-Fu1	Complete Genome	bacteria	1640877	33.000000	1	1	NCBI RefSeq	2026-05-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/545/GCF_000021545.1_ASM2154v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/545/GCF_000021545.1_ASM2154v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/545/GCF_000021545.1_ASM2154v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/545/GCF_000021545.1_ASM2154v1//_genomic.fna.gz	RS_GCF_000021545.1	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Sulfurihydrogenibium;s__Sulfurihydrogenibium azorense	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Hydrogenothermaceae	g__Sulfurihydrogenibium	s__Sulfurihydrogenibium azorense	True	True	True	False	3	near_complete	True
GCF_000021565.1	2054	5	0	5	soxa,soxb,soxx,soxy,soxz	10	0	reference genome	123214	309805	Persephonella marina EX-H1	Complete Genome	bacteria	1983966	37.000000	2	2	NCBI RefSeq	2026-05-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/565/GCF_000021565.1_ASM2156v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/565/GCF_000021565.1_ASM2156v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/565/GCF_000021565.1_ASM2156v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/565/GCF_000021565.1_ASM2156v1//_genomic.fna.gz	RS_GCF_000021565.1	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Hydrogenothermaceae	g__Persephonella	s__Persephonella marina	True	True	True	False	3	near_complete	True
GCF_000021985.1	3337	13	0	5	soxa,soxb,soxx,soxy,soxz	56	0	reference genome	396588	1033854	Thioalkalivibrio sulfidiphilus HL-EbGr7	Complete Genome	bacteria	3464554	65.000000	1	1	NCBI RefSeq	2026-05-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/985/GCF_000021985.1_ASM2198v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/985/GCF_000021985.1_ASM2198v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/985/GCF_000021985.1_ASM2198v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/985/GCF_000021985.1_ASM2198v1//_genomic.fna.gz	RS_GCF_000021985.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio_A;s__Thioalkalivibrio_A sulfidiphilus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Ectothiorhodospirales	f__Ectothiorhodospiraceae	g__Thioalkalivibrio_A	s__Thioalkalivibrio_A sulfidiphilus	True	True	True	False	3	near_complete	True
GCF_000022145.1	4526	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	38	0	reference genome	455488	161493	Anaeromyxobacter dehalogenans 2CP-1	Complete Genome	bacteria	5029329	74.500000	1	1	NCBI RefSeq	2026-05-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1//_genomic.fna.gz	RS_GCF_000022145.1	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__Anaeromyxobacter dehalogenans	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter dehalogenans	True	True	True	True	4	complete	True
GCF_000024425.1	3078	8	0	6	soxa,soxb,soxc,soxx,soxy,soxz	28	0	reference genome	504728	277	Meiothermus ruber DSM 1279	Complete Genome	bacteria	3097457	63.500000	1	1	NCBI RefSeq	2026-04-23	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/425/GCF_000024425.1_ASM2442v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/425/GCF_000024425.1_ASM2442v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/425/GCF_000024425.1_ASM2442v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/425/GCF_000024425.1_ASM2442v1//_genomic.fna.gz	RS_GCF_000024425.1	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Meiothermus;s__Meiothermus ruber	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Meiothermus	s__Meiothermus ruber	True	True	True	True	4	complete	True
GCF_000024765.1	2364	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	32	0	reference genome	555778	927	Halothiobacillus neapolitanus c2	Complete Genome	bacteria	2582886	54.500000	1	1	NCBI RefSeq	2026-03-12	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/765/GCF_000024765.1_ASM2476v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/765/GCF_000024765.1_ASM2476v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/765/GCF_000024765.1_ASM2476v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/765/GCF_000024765.1_ASM2476v1//_genomic.fna.gz	RS_GCF_000024765.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__Halothiobacillus;s__Halothiobacillus neapolitanus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Halothiobacillales	f__Halothiobacillaceae	g__Halothiobacillus	s__Halothiobacillus neapolitanus	True	True	True	True	4	complete	True
GCF_000025485.1	3293	5	0	5	soxa,soxb,soxx,soxy,soxz	38	0	reference genome	572477	1049	Allochromatium vinosum DSM 180	Complete Genome	bacteria	3669074	64.000000	3	3	NCBI RefSeq	2025-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/485/GCF_000025485.1_ASM2548v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/485/GCF_000025485.1_ASM2548v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/485/GCF_000025485.1_ASM2548v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/485/GCF_000025485.1_ASM2548v1//_genomic.fna.gz	RS_GCF_000025485.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thermochromatium;s__Thermochromatium vinosum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thermochromatium	s__Thermochromatium vinosum	True	True	True	False	3	near_complete	True
GCF_000025605.1	1601	5	0	5	soxa,soxb,soxx,soxy,soxz	3	5	reference genome	638303	136094	Thermocrinis albus DSM 14484	Complete Genome	bacteria	1500577	47.000000	1	1	NCBI RefSeq	2026-05-13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/605/GCF_000025605.1_ASM2560v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/605/GCF_000025605.1_ASM2560v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/605/GCF_000025605.1_ASM2560v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/605/GCF_000025605.1_ASM2560v1//_genomic.fna.gz	RS_GCF_000025605.1	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__Thermocrinis albus	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Aquificaceae	g__Thermocrinis	s__Thermocrinis albus	True	True	True	False	3	near_complete	True
GCF_000025705.1	2976	5	0	5	soxa,soxb,soxx,soxy,soxz	10	0	reference genome	580332	63745	Sideroxydans lithotrophicus ES-1	Complete Genome	bacteria	3003656	57.500000	1	1	NCBI RefSeq	2025-08-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1//_genomic.fna.gz	RS_GCF_000025705.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus lithotrophicus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Sideroxyarcus	s__Sideroxyarcus lithotrophicus	True	True	True	False	3	near_complete	True
