family	donor_node	recipient_node	donor_is_terminal	recipient_is_terminal	sample_support_count	sample_support	donor_class	donor_order	recipient_class	recipient_order
soxa	GCF_029853695.1	GCF_040790665.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_001305575.3	GCF_000015585.1	True	True	15	0.15	c__Gammaproteobacteria	o__Beggiatoales	c__Gammaproteobacteria	o__Nitrococcales
soxa	GCF_009650135.1	GCF_013343005.1	True	True	4	0.04	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__GCF-013343005
soxa	GCF_001889605.1	GCF_000967425.1	True	True	39	0.39	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_025857195.1	GCF_003008555.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_003966715.1	GCF_000192745.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_044772865.1	GCF_012932215.1	True	True	3	0.03	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_024662015.1	GCF_018282095.1	True	True	6	0.06	c__Alphaproteobacteria	o__Thalassobaculales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_012932215.1	GCF_047715485.1	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_032842945.2	GCF_047715485.1	True	True	12	0.12	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_032842945.2	GCF_044772865.1	True	True	5	0.05	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_009650135.1	GCF_000968535.2	True	True	2	0.02	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Methylococcales
soxa	GCF_000215705.1	GCF_019973615.1	True	True	3	0.03	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_026409565.1	GCF_029318635.1	True	True	1	0.01	c__Alphaproteobacteria	o__Sneathiellales	c__Alphaproteobacteria	o__Rhodospirillales
soxa	GCF_029318635.1	GCF_026409565.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodospirillales	c__Alphaproteobacteria	o__Sneathiellales
soxa	GCF_013343005.1	GCF_009650135.1	True	True	18	0.18	c__Gammaproteobacteria	o__GCF-013343005	c__Gammaproteobacteria	o__Pseudomonadales
soxa	GCF_001598055.1	GCF_000219215.1	True	True	33	0.33	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_044772865.1	GCF_032842945.2	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000967425.1	GCF_014495845.1	True	True	3	0.03	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_029318635.1	GCF_016653635.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodospirillales	c__Alphaproteobacteria	o__Azospirillales
soxa	GCF_016653635.2	GCF_027923555.1	True	True	1	0.01	c__Alphaproteobacteria	o__Azospirillales	c__Vulcanimicrobiia	o__Vulcanimicrobiales
soxa	GCF_022788655.1	GCF_003008555.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_006970865.1	GCF_014489595.1	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_014489595.1	GCF_014395975.1	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_014931715.1	GCF_000987835.1	True	True	1	0.01	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	GCF_002504165.1	GCF_038443675.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_038443675.1	GCF_001187845.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_047715485.1	GCF_012932215.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000015725.1	GCF_021049305.1	True	True	2	0.02	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_000143145.1	GCF_016807805.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_003966715.1	GCF_000143145.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_018736085.1	GCF_000202835.1	True	True	3	0.03	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Acetobacterales
soxa	GCF_001620265.1	GCF_002865605.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_001620265.1	GCF_003324675.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_029958925.1	GCF_001308265.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_001308265.1	GCF_029958925.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000154785.2	GCF_014337925.2	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_029318635.1	GCF_027923555.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodospirillales	c__Vulcanimicrobiia	o__Vulcanimicrobiales
soxa	GCF_025639885.1	GCF_000154785.2	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_002504165.1	GCF_001187845.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_001187845.1	GCF_038443675.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000202835.1	GCF_018736085.1	True	True	1	0.01	c__Alphaproteobacteria	o__Acetobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_040790665.1	GCF_026191725.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_016807805.1	GCF_003966715.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_016807805.1	GCF_000192745.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000022145.1	GCF_050749815.1	True	True	2	0.02	c__Myxococcia	o__Myxococcales	c__Gammaproteobacteria	o__Xanthomonadales
soxa	GCF_002215215.1	GCF_003403095.1	True	True	1	0.01	c__Gammaproteobacteria	o__Granulosicoccales	c__Alphaproteobacteria	o__Rhodospirillales
soxa	GCF_009910365.1	GCF_000968535.2	True	True	1	0.01	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Methylococcales
soxa	GCF_004214795.1	GCF_001956695.1	True	True	1	0.01	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	GCF_003966715.1	GCF_016807805.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_020162115.1	GCF_017498525.1	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_016806125.1	GCF_044772865.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_015291705.1	GCF_027594865.1	True	True	42	0.42	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_020162115.1	GCF_011388215.1	True	True	10	0.1	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_040409955.1	GCF_008728195.1	True	True	93	0.93	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_001889605.1	GCF_900231165.1	True	True	59	0.59	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_000154705.2	GCF_014495845.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_000016345.1	GCF_018687595.1	True	True	38	0.38	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_017901175.1	GCF_021650935.1	True	True	95	0.95	c__Gammaproteobacteria	o__Thiotrichales	c__Gammaproteobacteria	o__Thiotrichales
soxb	GCF_000020505.1	GCF_000006985.1	True	True	42	0.42	c__Chlorobiia	o__Chlorobiales	c__Chlorobiia	o__Chlorobiales
soxb	GCF_039645995.1	GCF_021044585.1	True	True	13	0.13	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxb	GCF_002872475.1	GCF_003574215.1	True	True	25	0.25	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_029953595.1	GCF_014126615.1	True	True	92	0.92	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_000008625.1	GCF_000025605.1	True	True	90	0.9	c__Aquificia	o__Aquificales	c__Aquificia	o__Aquificales
soxb	GCF_020510525.1	GCF_020510565.1	True	True	35	0.35	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_000297055.2	GCF_000025705.1	True	True	93	0.93	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_000022145.1	GCF_050749815.1	True	True	40	0.4	c__Myxococcia	o__Myxococcales	c__Gammaproteobacteria	o__Xanthomonadales
soxb	GCF_018282095.1	GCF_024662015.1	True	True	87	0.87	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Thalassobaculales
soxb	GCF_027923555.1	GCF_029318635.1	True	True	42	0.42	c__Vulcanimicrobiia	o__Vulcanimicrobiales	c__Alphaproteobacteria	o__Rhodospirillales
soxb	GCF_000016345.1	GCF_013307225.1	True	True	44	0.44	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_003403095.1	GCF_002215215.1	True	True	38	0.38	c__Alphaproteobacteria	o__Rhodospirillales	c__Gammaproteobacteria	o__Granulosicoccales
soxb	GCF_039724765.1	GCF_016806125.1	True	True	45	0.45	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_045277565.1	GCF_000011965.2	True	True	26	0.26	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_026898155.1	GCF_016806835.2	True	True	70	0.7	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Azospirillales
soxb	GCF_001889605.1	GCF_000967425.1	True	True	21	0.21	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_021049305.1	GCF_026013905.1	True	True	53	0.53	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_033100095.1	GCF_003008575.1	True	True	16	0.16	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_047715485.1	GCF_026191725.2	True	True	50	0.5	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_014905095.1	GCF_039645965.1	True	True	48	0.48	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxb	GCF_041200145.1	GCF_015624505.1	True	True	68	0.68	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_002795845.1	GCF_009650135.1	True	True	34	0.34	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Pseudomonadales
soxb	GCF_040269895.1	GCF_001305595.1	True	True	41	0.41	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Azospirillales
soxb	GCF_029318635.1	GCF_027923555.1	True	True	35	0.35	c__Alphaproteobacteria	o__Rhodospirillales	c__Vulcanimicrobiia	o__Vulcanimicrobiales
soxb	GCF_011388215.1	GCF_020162115.1	True	True	64	0.64	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_001579845.1	GCF_002119765.1	True	True	27	0.27	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_006970865.1	GCF_000215705.1	True	True	88	0.88	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_047715485.1	GCF_032842945.2	True	True	27	0.27	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_020510565.1	GCF_020510525.1	True	True	27	0.27	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_050749815.1	GCF_000022145.1	True	True	44	0.44	c__Gammaproteobacteria	o__Xanthomonadales	c__Myxococcia	o__Myxococcales
soxb	GCF_021044585.1	GCF_039645995.1	True	True	43	0.43	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxb	GCF_002795845.1	GCF_009497875.2	True	True	41	0.41	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Chromatiales
soxb	GCF_033723955.1	GCF_000219915.2	True	True	27	0.27	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_044772865.1	GCF_012932215.1	True	True	22	0.22	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_025639885.1	GCF_032842945.2	True	True	11	0.11	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_026191725.2	GCF_047715485.1	True	True	21	0.21	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_000006985.1	GCF_000020505.1	True	True	31	0.31	c__Chlorobiia	o__Chlorobiales	c__Chlorobiia	o__Chlorobiales
soxb	GCF_032842945.2	GCF_026191725.2	True	True	12	0.12	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_032842945.2	GCF_044772865.1	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_001305595.1	GCF_040269895.1	True	True	37	0.37	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_009650135.1	GCF_009497875.2	True	True	3	0.03	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Chromatiales
soxb	GCF_003574215.1	GCF_002872475.1	True	True	19	0.19	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_003008575.1	GCF_033100095.1	True	True	16	0.16	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_009497875.2	GCF_002795845.1	True	True	2	0.02	c__Gammaproteobacteria	o__Chromatiales	c__Gammaproteobacteria	o__Pseudomonadales
soxb	GCF_000219915.2	GCF_033723955.1	True	True	41	0.41	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Pseudomonadales
soxb	GCF_000186245.1	GCF_001723605.1	True	True	6	0.06	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxb	GCF_002795845.1	GCF_000186245.1	True	True	4	0.04	c__Gammaproteobacteria	o__Pseudomonadales	c__Campylobacteria	o__Campylobacterales
soxb	GCF_025639885.1	GCF_047715485.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_047715485.1	GCF_044772865.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_022788655.1	GCF_003008555.2	True	True	8	0.08	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_015624505.1	GCF_041200145.1	True	True	5	0.05	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_002215215.1	GCF_003403095.1	True	True	43	0.43	c__Gammaproteobacteria	o__Granulosicoccales	c__Alphaproteobacteria	o__Rhodospirillales
soxb	GCF_025639885.1	GCF_012932215.1	True	True	13	0.13	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_012932215.1	GCF_044772865.1	True	True	27	0.27	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_032842945.2	GCF_047715485.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_026013905.1	GCF_021049305.1	True	True	9	0.09	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_000219915.2	GCF_000968535.2	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Methylococcales
soxb	GCF_003008555.2	GCF_022788655.1	True	True	49	0.49	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_002119765.1	GCF_001579845.1	True	True	15	0.15	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_018687595.1	GCF_000016345.1	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_009650135.1	GCF_004786015.1	True	True	1	0.01	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Thiomicrospirales
soxb	GCF_001620265.1	GCF_002865605.1	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_012932215.1	GCF_032842945.2	True	True	8	0.08	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_016806125.1	GCF_039724765.1	True	True	15	0.15	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_026191725.2	GCF_032842945.2	True	True	9	0.09	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_026191725.2	GCF_012932215.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_025639885.1	GCF_026191725.2	True	True	4	0.04	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_016806835.2	GCF_026898155.1	True	True	12	0.12	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_002795845.1	GCF_001723605.1	True	True	6	0.06	c__Gammaproteobacteria	o__Pseudomonadales	c__Campylobacteria	o__Campylobacterales
soxb	GCF_008824185.1	GCF_003324675.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_025639885.1	GCF_044772865.1	True	True	8	0.08	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_044772865.1	GCF_032842945.2	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_900231165.1	GCF_001889605.1	True	True	4	0.04	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
