assembly_accession	cluster_id	window_bp	observed_mobile_count	control_mobile_count_mean	observed_mobile_present	control_mobile_present_mean	controls	count_difference	presence_difference
GCF_000014025.1	GCF_000014025.1:NC_009850.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000014025.1	GCF_000014025.1:NC_009850.1:sox_cluster_1	20000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_1	5000	0	0.5	False	0.25	20	-0.5	-0.25
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_1	10000	0	0.85	False	0.3	20	-0.85	-0.3
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_1	20000	0	1.25	False	0.4	20	-1.25	-0.4
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_2	5000	0	0.25	False	0.25	20	-0.25	-0.25
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_2	10000	0	0.35	False	0.35	20	-0.35	-0.35
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_2	20000	0	0.95	False	0.5	20	-0.95	-0.5
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_3	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_3	10000	0	0.2	False	0.2	20	-0.2	-0.2
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_3	20000	0	0.7	False	0.35	20	-0.7	-0.35
GCF_000015585.1	GCF_000015585.1:NC_008789.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000015585.1	GCF_000015585.1:NC_008789.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000015585.1	GCF_000015585.1:NC_008789.1:sox_cluster_1	20000	0	0.3	False	0.2	20	-0.3	-0.2
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_1	20000	0	0.7	False	0.3	20	-0.7	-0.3
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_2	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_2	10000	1	0.2	True	0.1	20	0.8	0.9
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_2	20000	1	0.45	True	0.2	20	0.55	0.8
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_3	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_3	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_3	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_4	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_4	10000	1	0.25	True	0.15	20	0.75	0.85
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_4	20000	2	0.75	True	0.35	20	1.25	0.65
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_1	20000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_2	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_2	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_2	20000	0	0.25	False	0.15	20	-0.25	-0.15
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_1	20000	0	0.3	False	0.1	20	-0.3	-0.1
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_2	5000	1	0.2	True	0.05	20	0.8	0.95
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_2	10000	1	0.25	True	0.1	20	0.75	0.9
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_2	20000	2	0.3	True	0.15	20	1.7	0.85
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_1	5000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_1	10000	0	0.3	False	0.1	20	-0.3	-0.1
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_1	20000	0	0.4	False	0.1	20	-0.4	-0.1
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_2	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_2	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_2	20000	0	0.4	False	0.2	20	-0.4	-0.2
GCF_000019945.1	GCF_000019945.1:NC_010725.1:sox_cluster_1	5000	1	0.3	True	0.2	20	0.7	0.8
GCF_000019945.1	GCF_000019945.1:NC_010725.1:sox_cluster_1	10000	1	0.45	True	0.3	20	0.55	0.7
GCF_000019945.1	GCF_000019945.1:NC_010725.1:sox_cluster_1	20000	2	0.85	True	0.4	20	1.15	0.6
GCF_000020505.1	GCF_000020505.1:NC_011027.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000020505.1	GCF_000020505.1:NC_011027.1:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_000020505.1	GCF_000020505.1:NC_011027.1:sox_cluster_1	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_1	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_1	10000	0	0.4	False	0.25	20	-0.4	-0.25
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_1	20000	0	0.85	False	0.45	20	-0.85	-0.45
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_2	5000	0	0.6	False	0.35	20	-0.6	-0.35
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_2	10000	0	0.75	False	0.35	20	-0.75	-0.35
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_2	20000	1	1.05	True	0.4	20	-0.050000000000000044	0.6
GCF_000021545.1	GCF_000021545.1:NC_012438.1:sox_cluster_1	5000	0	0.25	False	0.2	20	-0.25	-0.2
GCF_000021545.1	GCF_000021545.1:NC_012438.1:sox_cluster_1	10000	0	0.25	False	0.2	20	-0.25	-0.2
GCF_000021545.1	GCF_000021545.1:NC_012438.1:sox_cluster_1	20000	1	0.6	True	0.55	20	0.4	0.44999999999999996
GCF_000021565.1	GCF_000021565.1:NC_012440.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000021565.1	GCF_000021565.1:NC_012440.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000021565.1	GCF_000021565.1:NC_012440.1:sox_cluster_1	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_1	5000	0	0.35	False	0.25	20	-0.35	-0.25
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_1	10000	0	0.45	False	0.25	20	-0.45	-0.25
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_1	20000	0	0.8	False	0.4	20	-0.8	-0.4
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_2	5000	0	0.2	False	0.2	20	-0.2	-0.2
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_2	10000	0	0.3	False	0.3	20	-0.3	-0.3
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_2	20000	0	0.45	False	0.35	20	-0.45	-0.35
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_3	5000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_3	10000	0	0.5	False	0.4	20	-0.5	-0.4
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_3	20000	0	0.65	False	0.5	20	-0.65	-0.5
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_4	5000	0	0.55	False	0.3	20	-0.55	-0.3
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_4	10000	0	0.75	False	0.3	20	-0.75	-0.3
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_4	20000	0	1.0	False	0.35	20	-1.0	-0.35
GCF_000022145.1	GCF_000022145.1:NC_011891.1:sox_cluster_1	5000	0	0.5	False	0.1	20	-0.5	-0.1
GCF_000022145.1	GCF_000022145.1:NC_011891.1:sox_cluster_1	10000	0	0.7	False	0.2	20	-0.7	-0.2
GCF_000022145.1	GCF_000022145.1:NC_011891.1:sox_cluster_1	20000	0	0.75	False	0.25	20	-0.75	-0.25
GCF_000024425.1	GCF_000024425.1:NC_013946.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000024425.1	GCF_000024425.1:NC_013946.1:sox_cluster_1	10000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_000024425.1	GCF_000024425.1:NC_013946.1:sox_cluster_1	20000	0	0.3	False	0.3	20	-0.3	-0.3
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_1	10000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_1	20000	0	0.35	False	0.3	20	-0.35	-0.3
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_2	5000	0	0.2	False	0.2	20	-0.2	-0.2
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_2	10000	0	0.35	False	0.25	20	-0.35	-0.25
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_2	20000	0	0.8	False	0.35	20	-0.8	-0.35
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_3	5000	0	0.3	False	0.2	20	-0.3	-0.2
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_3	10000	0	0.4	False	0.3	20	-0.4	-0.3
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_3	20000	0	0.6	False	0.3	20	-0.6	-0.3
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_1	5000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_1	10000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_1	20000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_2	5000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_2	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_2	20000	0	0.4	False	0.3	20	-0.4	-0.3
GCF_000025605.1	GCF_000025605.1:NC_013894.1:sox_cluster_1	5000	1	0.05	True	0.05	20	0.95	0.95
GCF_000025605.1	GCF_000025605.1:NC_013894.1:sox_cluster_1	10000	1	0.05	True	0.05	20	0.95	0.95
GCF_000025605.1	GCF_000025605.1:NC_013894.1:sox_cluster_1	20000	1	0.05	True	0.05	20	0.95	0.95
GCF_000025705.1	GCF_000025705.1:NC_013959.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000025705.1	GCF_000025705.1:NC_013959.1:sox_cluster_1	10000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000025705.1	GCF_000025705.1:NC_013959.1:sox_cluster_1	20000	0	0.25	False	0.15	20	-0.25	-0.15
GCF_000069785.1	GCF_000069785.1:NC_010528.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000069785.1	GCF_000069785.1:NC_010528.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000069785.1	GCF_000069785.1:NC_010528.1:sox_cluster_1	20000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_000069785.1	GCF_000069785.1:NC_010530.1:sox_cluster_2	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000069785.1	GCF_000069785.1:NC_010530.1:sox_cluster_2	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000069785.1	GCF_000069785.1:NC_010530.1:sox_cluster_2	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_1	5000	1	0.7	True	0.3	20	0.30000000000000004	0.7
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_1	10000	1	0.75	True	0.3	20	0.25	0.7
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_1	20000	1	1.15	True	0.35	20	-0.1499999999999999	0.65
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_2	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_2	10000	0	0.45	False	0.15	20	-0.45	-0.15
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_2	20000	0	0.6	False	0.2	20	-0.6	-0.2
GCF_000091545.1	GCF_000091545.1:NC_006461.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000091545.1	GCF_000091545.1:NC_006461.1:sox_cluster_1	10000	0	0.25	False	0.2	20	-0.25	-0.2
GCF_000091545.1	GCF_000091545.1:NC_006461.1:sox_cluster_1	20000	0	0.35	False	0.25	20	-0.35	-0.25
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_1	5000	0	1.15	False	0.65	20	-1.15	-0.65
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_1	10000	0	1.95	False	0.8	20	-1.95	-0.8
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_1	20000	0	3.35	False	1.0	20	-3.35	-1.0
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_2	5000	0	1.65	False	0.7	20	-1.65	-0.7
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_2	10000	1	2.9	True	0.9	20	-1.9	0.09999999999999998
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_2	20000	1	4.55	True	1.0	20	-3.55	0.0
GCF_000092245.1	GCF_000092245.1:NC_014166.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000092245.1	GCF_000092245.1:NC_014166.1:sox_cluster_1	10000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000092245.1	GCF_000092245.1:NC_014166.1:sox_cluster_1	20000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000092925.1	GCF_000092925.1:NC_014217.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000092925.1	GCF_000092925.1:NC_014217.1:sox_cluster_1	10000	0	0.3	False	0.2	20	-0.3	-0.2
GCF_000092925.1	GCF_000092925.1:NC_014217.1:sox_cluster_1	20000	0	0.45	False	0.3	20	-0.45	-0.3
GCF_000092925.1	GCF_000092925.1:NC_014217.1:sox_cluster_2	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000092925.1	GCF_000092925.1:NC_014217.1:sox_cluster_2	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000092925.1	GCF_000092925.1:NC_014217.1:sox_cluster_2	20000	1	0.2	True	0.2	20	0.8	0.8
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_1	5000	2	0.0	True	0.0	20	2.0	1.0
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_1	10000	3	0.0	True	0.0	20	3.0	1.0
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_1	20000	3	0.0	True	0.0	20	3.0	1.0
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_2	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_2	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_2	20000	1	0.05	True	0.05	20	0.95	0.95
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_3	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_3	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000143145.1	GCF_000143145.1:NC_014313.1:sox_cluster_3	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000147355.1	GCF_000147355.1:NC_014506.1:sox_cluster_1	5000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_000147355.1	GCF_000147355.1:NC_014506.1:sox_cluster_1	10000	0	0.2	False	0.2	20	-0.2	-0.2
GCF_000147355.1	GCF_000147355.1:NC_014506.1:sox_cluster_1	20000	0	0.2	False	0.2	20	-0.2	-0.2
GCF_000147355.1	GCF_000147355.1:NC_014506.1:sox_cluster_2	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000147355.1	GCF_000147355.1:NC_014506.1:sox_cluster_2	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_000147355.1	GCF_000147355.1:NC_014506.1:sox_cluster_2	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_000153125.2	GCF_000153125.2:NZ_CM002299.1:sox_cluster_1	5000	0	0.75	False	0.3	20	-0.75	-0.3
GCF_000153125.2	GCF_000153125.2:NZ_CM002299.1:sox_cluster_1	10000	0	1.1	False	0.45	20	-1.1	-0.45
GCF_000153125.2	GCF_000153125.2:NZ_CM002299.1:sox_cluster_1	20000	0	1.5	False	0.6	20	-1.5	-0.6
GCF_000154705.2	GCF_000154705.2:NZ_CM002917.1:sox_cluster_1	5000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_000154705.2	GCF_000154705.2:NZ_CM002917.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000154705.2	GCF_000154705.2:NZ_CM002917.1:sox_cluster_1	20000	0	0.35	False	0.2	20	-0.35	-0.2
GCF_000154785.2	GCF_000154785.2:NC_015730.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000154785.2	GCF_000154785.2:NC_015730.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000154785.2	GCF_000154785.2:NC_015730.1:sox_cluster_1	20000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_000158095.2	GCF_000158095.2:NZ_CM011002.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000158095.2	GCF_000158095.2:NZ_CM011002.1:sox_cluster_1	10000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000158095.2	GCF_000158095.2:NZ_CM011002.1:sox_cluster_1	20000	0	0.45	False	0.15	20	-0.45	-0.15
GCF_000164905.1	GCF_000164905.1:NC_017161.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000164905.1	GCF_000164905.1:NC_017161.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000164905.1	GCF_000164905.1:NC_017161.1:sox_cluster_1	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000183725.1	GCF_000183725.1:NC_014762.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000183725.1	GCF_000183725.1:NC_014762.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000183725.1	GCF_000183725.1:NC_014762.1:sox_cluster_1	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000186245.1	GCF_000186245.1:NC_014935.1:sox_cluster_1	5000	0	0.3	False	0.2	20	-0.3	-0.2
GCF_000186245.1	GCF_000186245.1:NC_014935.1:sox_cluster_1	10000	0	0.4	False	0.25	20	-0.4	-0.25
GCF_000186245.1	GCF_000186245.1:NC_014935.1:sox_cluster_1	20000	0	0.6	False	0.45	20	-0.6	-0.45
GCF_000192745.1	GCF_000192745.1:NC_015259.1:sox_cluster_1	5000	0	0.45	False	0.2	20	-0.45	-0.2
GCF_000192745.1	GCF_000192745.1:NC_015259.1:sox_cluster_1	10000	0	0.75	False	0.25	20	-0.75	-0.25
GCF_000192745.1	GCF_000192745.1:NC_015259.1:sox_cluster_1	20000	0	1.15	False	0.35	20	-1.15	-0.35
GCF_000202835.1	GCF_000202835.1:NC_015186.1:sox_cluster_1	5000	1	0.7	True	0.3	20	0.30000000000000004	0.7
GCF_000202835.1	GCF_000202835.1:NC_015186.1:sox_cluster_1	10000	1	0.85	True	0.4	20	0.15000000000000002	0.6
GCF_000202835.1	GCF_000202835.1:NC_015186.1:sox_cluster_1	20000	1	1.5	True	0.5	20	-0.5	0.5
GCF_000214275.2	GCF_000214275.2:NZ_CM001475.1:sox_cluster_1	5000	1	0.3	True	0.15	20	0.7	0.85
GCF_000214275.2	GCF_000214275.2:NZ_CM001475.1:sox_cluster_1	10000	1	0.5	True	0.25	20	0.5	0.75
GCF_000214275.2	GCF_000214275.2:NZ_CM001475.1:sox_cluster_1	20000	1	1.05	True	0.55	20	-0.050000000000000044	0.44999999999999996
GCF_000214275.2	GCF_000214275.2:NZ_CM001475.1:sox_cluster_2	5000	0	0.4	False	0.3	20	-0.4	-0.3
GCF_000214275.2	GCF_000214275.2:NZ_CM001475.1:sox_cluster_2	10000	0	0.8	False	0.4	20	-0.8	-0.4
GCF_000214275.2	GCF_000214275.2:NZ_CM001475.1:sox_cluster_2	20000	1	1.25	True	0.5	20	-0.25	0.5
GCF_000215705.1	GCF_000215705.1:NC_015677.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000215705.1	GCF_000215705.1:NC_015677.1:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_000215705.1	GCF_000215705.1:NC_015677.1:sox_cluster_1	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_000218565.1	GCF_000218565.1:NC_015684.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_000218565.1	GCF_000218565.1:NC_015684.1:sox_cluster_1	10000	0	0.45	False	0.1	20	-0.45	-0.1
GCF_000218565.1	GCF_000218565.1:NC_015684.1:sox_cluster_1	20000	0	0.7	False	0.2	20	-0.7	-0.2
GCF_000219215.1	GCF_000219215.1:NC_015723.1:sox_cluster_2	5000	0	0.25	False	0.25	20	-0.25	-0.25
GCF_000219215.1	GCF_000219215.1:NC_015723.1:sox_cluster_2	10000	0	0.35	False	0.3	20	-0.35	-0.3
GCF_000219215.1	GCF_000219215.1:NC_015723.1:sox_cluster_2	20000	0	0.6	False	0.45	20	-0.6	-0.45
GCF_000219215.1	GCF_000219215.1:NC_015726.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000219215.1	GCF_000219215.1:NC_015726.1:sox_cluster_1	10000	0	0.2	False	0.2	20	-0.2	-0.2
GCF_000219215.1	GCF_000219215.1:NC_015726.1:sox_cluster_1	20000	0	0.35	False	0.3	20	-0.35	-0.3
GCF_000219915.2	GCF_000219915.2:NC_017964.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_000219915.2	GCF_000219915.2:NC_017964.1:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_000219915.2	GCF_000219915.2:NC_017964.1:sox_cluster_1	20000	0	0.0	False	0.0	20	0.0	0.0
