family	assembly_accession	gtdb_order	gtdb_class	gene_tree_order_coherence_k10	species_tree_order_coherence_k10	order_discordance	gene_tree_class_coherence_k10	species_tree_class_coherence_k10	class_discordance
soxa	GCF_000934605.2	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000967425.1	o__Rhizobiales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_000968535.2	o__Methylococcales	c__Gammaproteobacteria	0.0	0.0	0.0	1.0	1.0	0.0
soxa	GCF_000972785.3	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000987835.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001017435.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001029105.3	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001187845.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_001305575.3	o__Beggiatoales	c__Gammaproteobacteria	0.0	0.0	0.0	0.3	1.0	0.7
soxa	GCF_001305595.1	o__Azospirillales	c__Alphaproteobacteria	0.0	0.1	0.1	0.1	1.0	0.9
soxa	GCF_001308265.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_001465545.3	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001465595.2	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001598055.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001620265.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001633165.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_001663815.1	o__Halothiobacillales	c__Gammaproteobacteria	0.2	0.2	0.0	1.0	1.0	0.0
soxa	GCF_001723605.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001747405.1	o__Chlorobiales	c__Chlorobiia	0.3	0.3	0.0	0.3	0.3	0.0
soxa	GCF_001761385.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001854125.1	o__Pseudomonadales	c__Gammaproteobacteria	0.4	1.0	0.6	0.5	1.0	0.5
soxa	GCF_001854325.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001888185.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001889605.1	o__Rhizobiales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_001940525.2	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001953055.1	o__Rhizobiales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	0.9	1.0	0.09999999999999998
soxa	GCF_001956695.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_001969385.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_001975705.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_001999245.1	o__Rhizobiales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	0.9	1.0	0.09999999999999998
soxa	GCF_002028405.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_002085925.2	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_002215215.1	o__Granulosicoccales	c__Gammaproteobacteria	0.0	0.0	0.0	0.0	1.0	1.0
soxa	GCF_002222655.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_002355415.1	o__Acidiferrobacterales	c__Gammaproteobacteria	0.1	0.1	0.0	1.0	1.0	0.0
soxa	GCF_002355735.1	o__Acidiferrobacterales	c__Gammaproteobacteria	0.1	0.1	0.0	1.0	1.0	0.0
soxa	GCF_002504165.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_002795845.1	o__Pseudomonadales	c__Gammaproteobacteria	0.5	1.0	0.5	0.5	1.0	0.5
soxa	GCF_002865605.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_002872475.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_003008555.2	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003008575.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003065365.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_003065385.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_003324675.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003346815.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003355515.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003403095.1	o__Rhodospirillales	c__Alphaproteobacteria	0.0	0.1	0.1	0.9	1.0	0.09999999999999998
soxa	GCF_003544815.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003544835.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003544855.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003544895.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003544915.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003544935.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003574215.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_003660105.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_003721225.2	o__Acidithiobacillales	c__Gammaproteobacteria	0.1	0.1	0.0	1.0	1.0	0.0
soxa	GCF_003966565.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	0.9	1.0	0.09999999999999998
soxa	GCF_003966715.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.3	1.0	0.7
soxa	GCF_003967275.1	o__Burkholderiales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_004006175.1	o__Rhodobacterales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_004214795.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_004214815.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_004299785.2	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_004323595.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	0.9	1.0	0.09999999999999998
soxa	GCF_004786015.1	o__Thiomicrospirales	c__Gammaproteobacteria	0.0	0.0	0.0	0.9	1.0	0.09999999999999998
soxa	GCF_005234135.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_006459125.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_006970865.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_007922615.2	o__Rhizobiales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_007954405.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_008274805.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	0.9	1.0	0.09999999999999998
soxa	GCF_008630635.1	o__Pseudomonadales	c__Gammaproteobacteria	0.5	1.0	0.5	0.5	1.0	0.5
soxa	GCF_008728195.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_008801925.2	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_008824185.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_009068765.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_009497875.2	o__Chromatiales	c__Gammaproteobacteria	0.0	0.6	0.6	0.7	1.0	0.30000000000000004
soxa	GCF_009650135.1	o__Pseudomonadales	c__Gammaproteobacteria	0.3	1.0	0.7	1.0	1.0	0.0
soxa	GCF_009762325.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_009789575.1	o__Rhizobiales	c__Alphaproteobacteria	0.5	1.0	0.5	0.9	1.0	0.09999999999999998
soxa	GCF_009910365.1	o__Pseudomonadales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_009937995.1	o__Burkholderiales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_009938015.1	o__Burkholderiales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_010983895.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_011006175.1	o__Aquificales	c__Aquificia	0.3	0.6	0.3	0.3	0.6	0.3
soxa	GCF_011290485.1	o__Chromatiales	c__Gammaproteobacteria	0.4	0.6	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_011388215.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_012932215.1	o__Rhodobacterales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_013004065.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013177635.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013177675.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013201625.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013201665.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013201705.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013201725.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013201825.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013201935.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013283835.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_013307245.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_013343005.1	o__GCF-013343005	c__Gammaproteobacteria	0.0	0.0	0.0	1.0	1.0	0.0
soxa	GCF_013358405.1	o__Rhizobiales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	0.9	1.0	0.09999999999999998
soxa	GCF_013372265.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_014126615.1	o__Rhizobiales	c__Alphaproteobacteria	0.0	1.0	1.0	1.0	1.0	0.0
soxa	GCF_014337925.2	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_014395975.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_014489595.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_014495845.1	o__Rhizobiales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_014905095.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_014905115.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_014905135.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_014931715.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_015265455.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_015265475.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_015689335.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_016653635.2	o__Azospirillales	c__Alphaproteobacteria	0.0	0.1	0.1	0.9	1.0	0.09999999999999998
soxa	GCF_016806125.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_016807805.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.3	1.0	0.7
soxa	GCF_016894385.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_017301335.1	o__Pseudomonadales	c__Gammaproteobacteria	0.4	1.0	0.6	0.5	1.0	0.5
soxa	GCF_017309585.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_017357825.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_017498525.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_018243235.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_018282095.1	o__Rhizobiales	c__Alphaproteobacteria	0.1	1.0	0.9	1.0	1.0	0.0
soxa	GCF_018736085.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.4	1.0	0.6
soxa	GCF_019973615.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_020162115.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_020510525.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	0.9	1.0	0.09999999999999998
soxa	GCF_020510565.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	0.9	1.0	0.09999999999999998
soxa	GCF_021044585.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_021049305.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_022788655.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_022811525.1	o__Burkholderiales	c__Gammaproteobacteria	0.8	1.0	0.19999999999999996	0.8	1.0	0.19999999999999996
soxa	GCF_023734135.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_024267655.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_024347195.1	o__Pseudomonadales	c__Gammaproteobacteria	0.5	1.0	0.5	0.5	1.0	0.5
soxa	GCF_024347215.1	o__Pseudomonadales	c__Gammaproteobacteria	0.5	1.0	0.5	0.5	1.0	0.5
soxa	GCF_024662015.1	o__Thalassobaculales	c__Alphaproteobacteria	0.0	0.0	0.0	1.0	1.0	0.0
soxa	GCF_024925465.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_025639885.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_025857195.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_026013905.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_026191725.2	o__Rhizobiales	c__Alphaproteobacteria	0.0	1.0	1.0	1.0	1.0	0.0
soxa	GCF_026409565.1	o__Sneathiellales	c__Alphaproteobacteria	0.0	0.0	0.0	0.9	1.0	0.09999999999999998
soxa	GCF_026898155.1	o__Rhizobiales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_027923555.1	o__Vulcanimicrobiales	c__Vulcanimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_027943725.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_027946175.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_028553745.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_028553805.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_029030725.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.4	1.0	0.6
soxa	GCF_029318635.1	o__Rhodospirillales	c__Alphaproteobacteria	0.0	0.1	0.1	0.9	1.0	0.09999999999999998
soxa	GCF_029853695.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_029953595.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_029958925.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_030254645.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_030285785.1	o__Rhodobacterales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_030296055.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_030407165.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_032842945.2	o__Rhodobacterales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_033100095.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_033723955.1	o__Pseudomonadales	c__Gammaproteobacteria	0.0	1.0	1.0	0.9	1.0	0.09999999999999998
soxa	GCF_033954455.1	o__Chromatiales	c__Gammaproteobacteria	0.4	0.6	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_034479635.1	o__Halothiobacillales	c__Gammaproteobacteria	0.2	0.2	0.0	1.0	1.0	0.0
soxa	GCF_034555965.2	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_035621355.1	o__Burkholderiales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_036323495.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_038443675.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_039645565.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_039645585.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_039645965.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_039645985.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_039645995.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_039724765.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
